Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR1782686_pass	57.21140807856047	54.0	50.0	50	20.0	19777175.0
SRR1782694	39.41293527647392	48.0	50.0	50	30.0	18871332.0
SRR1782695	34.12404339657907	49.0	50.0	50	30.0	21197741.0
SRR1782698	35.994089462277884	49.0	50.0	50	10.0	18832032.0
SRR1782701_pass	40.5448516569926	49.0	50.0	50	10.0	15637651.0
SRR1782703_pass	37.241956617950976	49.0	50.0	50	10.0	17689170.0
SRR1782704	46.590434864130295	49.0	50.0	50	10.0	18250328.0
SRR1782705_pass	69.14732316896273	52.0	50.0	50	27.27272727272727	26737763.0
SRR1782715_pass	39.39613845628317	49.0	50.0	50	9.090909090909092	20620076.0
SRR1782722_pass	42.10161045330057	49.0	50.0	50	9.090909090909092	22397177.0
SRR1782727	47.07387658973757	50.0	50.0	50	18.181818181818183	37991212.0
SRR1782730	45.575639140746425	51.0	50.0	50	18.181818181818183	30569861.0
SRR1782742	44.978748507388964	49.0	50.0	50	18.181818181818183	41944791.0
SRR1782773_pass	37.758666519668	49.0	50.0	50	18.181818181818183	21822473.0
SRR1782774_pass	37.18624524761612	49.0	50.0	50	9.090909090909092	20782069.0
SRR1782804_pass	36.60143230516682	51.0	50.0	50	27.27272727272727	20786896.0
SRR1782829	42.25160823616204	51.0	50.0	50	18.181818181818183	28781403.0
SRR1782834	52.65126641688103	51.0	50.0	50	18.181818181818183	41895962.0
SRR1782912	47.4501127434604	50.0	50.0	50	18.181818181818183	40141437.0
SRR1782952_pass	24.975362195009154	49.0	50.0	50	9.090909090909092	32327649.0
