Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR1782694	39.41293527647392	48.0	50.0	50	30.0	18871332.0
SRR1782695	34.12404339657907	49.0	50.0	50	30.0	21197741.0
SRR1782698	35.994089462277884	49.0	50.0	50	10.0	18832032.0
SRR1782704	46.590434864130295	49.0	50.0	50	10.0	18250328.0
SRR1782727	47.07387658973757	50.0	50.0	50	18.181818181818183	37991212.0
SRR1782730	45.575639140746425	51.0	50.0	50	18.181818181818183	30569861.0
SRR1782742	44.978748507388964	49.0	50.0	50	18.181818181818183	41944791.0
SRR1782829	42.25160823616204	51.0	50.0	50	18.181818181818183	28781403.0
SRR1782834	52.65126641688103	51.0	50.0	50	18.181818181818183	41895962.0
SRR1782912	47.4501127434604	50.0	50.0	50	18.181818181818183	40141437.0
