Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR1782694	40.90442570828441	48.0	50.0	50	30.0	14196655.0
SRR1782695	35.09646693786047	48.0	50.0	50	30.0	16047255.0
SRR1782698	39.008461878457	48.0	50.0	50	10.0	12881417.0
SRR1782704	50.3861994056379	48.0	50.0	50	20.0	12862541.0
SRR1782727	51.338184125606894	48.0	50.0	50	27.27272727272727	23951325.0
SRR1782730	49.41060889291862	50.0	50.0	50	18.181818181818183	19828747.0
SRR1782742	48.49368564835106	48.0	50.0	50	18.181818181818183	26201841.0
SRR1782829	47.21146687205524	50.0	50.0	50	9.090909090909092	19208175.0
SRR1782834	58.24953722929933	49.0	50.0	50	18.181818181818183	26914766.0
SRR1782912	51.298132308481065	49.0	50.0	50	18.181818181818183	27493574.0
