Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR1782686_pass	59.76361006805438	52.0	50.0	50	20.0	14514152.0
SRR1782694	40.91882955671265	48.0	50.0	50	30.0	14196655.0
SRR1782695	35.0869427447315	48.0	50.0	50	30.0	16047255.0
SRR1782698	39.01620641218293	48.0	50.0	50	10.0	12881417.0
SRR1782701_pass	43.055177005946646	48.0	50.0	50	10.0	11015939.0
SRR1782703_pass	39.46039399919433	48.0	50.0	50	10.0	12360559.0
SRR1782704	50.389094681005105	48.0	50.0	50	20.0	12862541.0
SRR1782705_pass	77.18610152334139	51.0	50.0	50	27.27272727272727	16281416.0
SRR1782715_pass	43.14673037302037	47.0	50.0	50	9.090909090909092	14304662.0
SRR1782722_pass	45.180766010272364	48.0	50.0	50	9.090909090909092	15799835.0
SRR1782727	51.338000710069196	48.0	50.0	50	27.27272727272727	23951325.0
SRR1782730	49.39051370459102	50.0	50.0	50	18.181818181818183	19828747.0
SRR1782742	48.47899483196188	48.0	50.0	50	18.181818181818183	26201841.0
SRR1782773_pass	41.82710546058978	47.0	50.0	50	9.090909090909092	13502874.0
SRR1782774_pass	40.214322338754215	48.0	50.0	50	9.090909090909092	14014365.0
SRR1782804_pass	40.74500647576065	49.0	50.0	50	9.090909090909092	13381574.0
SRR1782829	47.21285903860893	50.0	50.0	50	9.090909090909092	19208175.0
SRR1782834	58.25605231591184	49.0	50.0	50	18.181818181818183	26914766.0
SRR1782912	51.296771187714555	49.0	50.0	50	18.181818181818183	27493574.0
SRR1782952_pass	26.770436577634896	48.0	50.0	50	9.090909090909092	18451120.0
